Column1,Column2,Open,High,Low ,Close,Volume
19/5/2008,12:00:00 AM,1.956,1.9565,1.95574,1.9562,628
19/5/2008,4:00:00 AM,1.9562,1.9586,1.9539,1.95575,20963
19/5/2008,8:00:00 AM,1.95575,1.9623,1.95525,1.95555,26479
19/5/2008,12:00:00 PM,1.95555,1.9556,1.94525,1.94705,27216
19/5/2008,4:00:00 PM,1.947,1.9488,1.9463,1.94775,10589
19/5/2008,8:00:00 PM,1.9479,1.9501,1.94665,1.94825,12576
20/5/2008,12:00:00 AM,1.9489,1.9535,1.9478,1.9515,29393
20/5/2008,4:00:00 AM,1.9515,1.9574,1.9502,1.95615,15452
20/5/2008,8:00:00 AM,1.9562,1.96665,1.9538,1.96435,31342
20/5/2008,12:00:00 PM,1.9643,1.97185,1.9636,1.9703,28507
20/5/2008,4:00:00 PM,1.9703,1.97125,1.96705,1.9683,17914
20/5/2008,8:00:00 PM,1.96815,1.96925,1.96645,1.96665,17206
21/5/2008,12:00:00 AM,1.9669,1.96955,1.96655,1.9687,31466
21/5/2008,4:00:00 AM,1.9687,1.969,1.96255,1.96435,24689
21/5/2008,8:00:00 AM,1.96435,1.96865,1.96405,1.9661,44611
21/5/2008,12:00:00 PM,1.9661,1.96685,1.9612,1.9667,59358
21/5/2008,4:00:00 PM,1.9667,1.97065,1.96455,1.96875,37069
21/5/2008,8:00:00 PM,1.96875,1.9733,1.96836,1.97076,14559
22/5/2008,12:00:00 AM,1.971,1.9736,1.97055,1.97125,16639
22/5/2008,4:00:00 AM,1.97125,1.9758,1.9698,1.97205,31751
22/5/2008,8:00:00 AM,1.97215,1.98445,1.96815,1.98345,37928
22/5/2008,12:00:00 PM,1.98345,1.9848,1.9782,1.9783,59938
22/5/2008,4:00:00 PM,1.97845,1.9812,1.97775,1.97855,20318
22/5/2008,8:00:00 PM,1.97855,1.9814,1.9783,1.9799,15623
23/5/2008,12:00:00 AM,1.9799,1.9804,1.9777,1.9793,25576
23/5/2008,4:00:00 AM,1.9793,1.9808,1.9755,1.9778,33272
23/5/2008,8:00:00 AM,1.9778,1.9828,1.97655,1.9824,49931
23/5/2008,12:00:00 PM,1.9824,1.9852,1.9801,1.98155,30050
23/5/2008,4:00:00 PM,1.98165,1.9821,1.9784,1.98005,12323
23/5/2008,8:00:00 PM,1.98005,1.98035,1.97915,1.9796,1938
25/5/2008,8:00:00 PM,1.97931,1.9813,1.97885,1.98057,16525
26/5/2008,12:00:00 AM,1.9807,1.9827,1.9803,1.9823,18539
26/5/2008,4:00:00 AM,1.9823,1.9828,1.97865,1.9793,21020
26/5/2008,8:00:00 AM,1.9793,1.97935,1.97585,1.97835,23273
26/5/2008,12:00:00 PM,1.97835,1.9833,1.9777,1.98222,12759
26/5/2008,4:00:00 PM,1.9825,1.98275,1.98091,1.98132,6215
26/5/2008,8:00:00 PM,1.98138,1.9825,1.98025,1.9814,11394
27/5/2008,12:00:00 AM,1.9814,1.98305,1.9805,1.98165,18160
27/5/2008,4:00:00 AM,1.98161,1.9846,1.97145,1.9737,22657
27/5/2008,8:00:00 AM,1.9737,1.9783,1.97305,1.97715,19786
27/5/2008,12:00:00 PM,1.97715,1.9783,1.9728,1.97495,26129
27/5/2008,4:00:00 PM,1.97495,1.9771,1.9742,1.9764,6304
27/5/2008,8:00:00 PM,1.97645,1.977,1.9741,1.9749,11333
28/5/2008,12:00:00 AM,1.9749,1.9757,1.9733,1.9751,31751
28/5/2008,4:00:00 AM,1.9751,1.9822,1.9743,1.98185,45663
28/5/2008,8:00:00 AM,1.9818,1.9827,1.9726,1.9728,57935
28/5/2008,12:00:00 PM,1.97285,1.98265,1.9703,1.9804,63225
28/5/2008,4:00:00 PM,1.9804,1.9818,1.9792,1.9801,15552
28/5/2008,8:00:00 PM,1.9801,1.98175,1.9793,1.9812,8181
29/5/2008,12:00:00 AM,1.9812,1.9817,1.9775,1.9777,8332
29/5/2008,4:00:00 AM,1.9777,1.97855,1.96725,1.972,42935
29/5/2008,8:00:00 AM,1.972,1.97815,1.9693,1.9762,12598
29/5/2008,12:00:00 PM,1.9762,1.98015,1.974,1.9757,20014
29/5/2008,4:00:00 PM,1.9757,1.9771,1.973,1.9755,16309
29/5/2008,8:00:00 PM,1.9755,1.977,1.97375,1.9746,4339
30/5/2008,12:00:00 AM,1.9746,1.9772,1.97346,1.97598,7446
30/5/2008,4:00:00 AM,1.97602,1.97905,1.9732,1.9736,24069
30/5/2008,8:00:00 AM,1.9736,1.97475,1.9695,1.9729,28780
30/5/2008,12:00:00 PM,1.9729,1.9801,1.96845,1.979,44523
30/5/2008,4:00:00 PM,1.979,1.9814,1.9777,1.9808,15348
30/5/2008,8:00:00 PM,1.9808,1.9822,1.9807,1.9819,1900
1/6/2008,8:00:00 PM,1.97287,1.9773,1.97254,1.974,3695
2/6/2008,12:00:00 AM,1.974,1.9765,1.9708,1.9729,7936
2/6/2008,4:00:00 AM,1.97295,1.9744,1.9625,1.9625,23728
2/6/2008,8:00:00 AM,1.9626,1.9647,1.95965,1.9606,40186
2/6/2008,12:00:00 PM,1.96065,1.9675,1.96005,1.9665,49335
2/6/2008,4:00:00 PM,1.9665,1.9678,1.9649,1.9662,17549
2/6/2008,8:00:00 PM,1.9661,1.9677,1.9645,1.96453,3486
3/6/2008,12:00:00 AM,1.965,1.96505,1.96234,1.9633,5695
3/6/2008,4:00:00 AM,1.9633,1.9655,1.96105,1.9652,15507
3/6/2008,8:00:00 AM,1.9652,1.9697,1.96435,1.9697,25914
3/6/2008,12:00:00 PM,1.96965,1.97405,1.9605,1.96475,33847
3/6/2008,4:00:00 PM,1.96475,1.96555,1.9614,1.96475,13680
3/6/2008,8:00:00 PM,1.96475,1.9648,1.96145,1.96185,5296
4/6/2008,12:00:00 AM,1.96185,1.9635,1.9614,1.9633,4264
4/6/2008,4:00:00 AM,1.9633,1.9637,1.954,1.95625,19830
4/6/2008,8:00:00 AM,1.9562,1.958,1.9535,1.9568,17962
4/6/2008,12:00:00 PM,1.9568,1.9574,1.9526,1.9546,21809
4/6/2008,4:00:00 PM,1.9546,1.9557,1.95275,1.9545,9107
4/6/2008,8:00:00 PM,1.9545,1.9557,1.95322,1.9536,4084
5/6/2008,12:00:00 AM,1.9536,1.9537,1.95005,1.951,9114
5/6/2008,4:00:00 AM,1.9508,1.95365,1.94905,1.9501,20564
5/6/2008,8:00:00 AM,1.9501,1.95155,1.9461,1.95065,26667
